Simbolo;Nome;Num_Atomico;Linha;Coluna;Estado_Fisico
B;Boron;5;2;13;Solid
C;Carbon;6;2;14;Solid
N;Nitrogen;7;2;15;Gas
O;Oxygen;8;2;16;Gas
F;Fluorine;9;2;17;Gas
Ne;Neon;10;2;18;Gas
Na;Sodium;11;3;1;Solid
Mg;Magnesium;12;3;2;Solid
Al;Aluminium;13;3;13;Solid
Si;Silicon;14;3;14;Solid
P;Phosphorus;15;3;15;Solid
S;Sulfur;16;3;16;Solid
Cl;Chlorine;17;3;17;Gas
Ar;Argon;18;3;18;Gas
K;Potassium;19;4;1;Solid
Ti;Titanium;22;4;2;Solid
V;Vanadium;23;4;3;Solid
Cr;Chromiumm;24;4;4;Solid
Mn;manganese;25;4;5;Solid
